id,category,path,format,status,description
map.world.geographic-base-50.001,map,assets/maps/base/map-world-geographic-base-50-001.svg,svg,ready,Base geográfica vectorial continua no interactiva de los 6 continentes
map.world.tactical-26.001,map,assets/maps/base/map-base-tactical-26-001.svg,svg,ready,Mapa táctico base de 26 territorios
map.world.tactical-50.001,map,assets/maps/base/map-base-tactical-50-001.svg,svg,ready,Mapa táctico de 50 territorios en 4 capas realistas
map.world.tactical-100.001,map,assets/maps/base/map-base-tactical-100-001.svg,svg,ready,Mapa táctico extendido de 100 territorios
brand.palette.001,brand,assets/brand/palette/palette.json,json,ready,Paleta de marca y 8 colores de jugadores WCAG
ui.icon.lopda-coin.001,ui,assets/ui/icons/icon-betting-lopda-coin-001.svg,svg,ready,Icono de Moneda LOPDA virtual
ui.button.attack.001,ui,assets/ui/buttons/button-action-attack-001.svg,svg,ready,Bandeja/botón táctico de ataque
ui.button.fortify.001,ui,assets/ui/buttons/button-action-fortify-001.svg,svg,ready,Bandeja/botón táctico de reagrupamiento
ui.panel.card.001,ui,assets/ui/panels/panel-player-card-001.svg,svg,ready,Panel heráldico de tarjeta de jugador
achievement.banner.traitor-king.001,achievements,assets/achievements/banners/banner-achievement-traitor-king-001.svg,svg,ready,Estandarte de logro Rey Traidor
pilot.south-america.manifest.001,manifests,assets/manifests/south-america-pilot-manifest.json,json,ready,Manifiesto técnico de la región piloto América del Sur
pilot.world-50.manifest.001,manifests,assets/manifests/map-world-50-manifest.json,json,ready,Manifiesto técnico del mapamundi de 50 territorios
audio.ui.click.001,audio,assets/audio/ui/sound-ui-click-001.wav,wav,ready,Efecto sonoro de click en interfaz
audio.ui.notify.001,audio,assets/audio/ui/sound-notify-001.wav,wav,ready,Notificación sonora de interfaz
audio.ui.reinforce.001,audio,assets/audio/ui/sound-reinforce-001.wav,wav,ready,Sonido de colocación de refuerzos
audio.dice.roll.001,audio,assets/audio/dice/sound-dice-roll-001.wav,wav,ready,Sonido de tirada física de dados
audio.battle.clash.001,audio,assets/audio/battles/sound-battle-clash-001.wav,wav,ready,Sonido de choque de espadas en batalla
audio.battle.win.001,audio,assets/audio/battles/sound-battle-win-001.wav,wav,ready,Sonido de victoria en combate
audio.battle.lose.001,audio,assets/audio/battles/sound-battle-lose-001.wav,wav,ready,Sonido de derrota en combate
audio.alerts.traitor.001,audio,assets/audio/alerts/sound-alert-traitor-001.wav,wav,ready,Efecto sonoro dramático de traición
audio.alerts.player-eliminated.001,audio,assets/audio/alerts/sound-player-eliminated-001.wav,wav,ready,Efecto sonoro de eliminación de jugador
audio.victory.fanfare.001,audio,assets/audio/victory/sound-victory-fanfare-001.wav,wav,ready,Fanfarria de victoria de partida
audio.victory.defeat-sad.001,audio,assets/audio/victory/sound-defeat-sad-001.wav,wav,ready,Marcha fúnebre de derrota final
background.game.war-table.001,backgrounds,assets/backgrounds/background-game-war-table-001.webp,webp,planned,Fondo 3D de mesa de guerra en madera y cuero
animation.dice.roll-attack.001,dice,assets/dice/animations/animation-dice-roll-attack-001.webm,webm,planned,Animación 3D de tirada de dados atacantes
avatar.commentator.mocking.001,commentator,assets/ai-commentator/avatars/avatar-commentator-mocking-001.webp,webp,planned,Retrato expresivo sarcástico del relator IA
